product_id,product_name,set_code,snapshot_date,printing,market_price,low_price
563843,Double Pack Set Volume 6 Display,OP09,2026-05-04,Normal,449.7,900.0
576484,DON!! Card (Shattered) (Double Pack Set Vol. 5),OP08,2026-05-04,Foil,2.53,2.0
576485,DON!! Card (Silhouette) (Double Pack Set Vol. 5),OP08,2026-05-04,Foil,4.78,4.23
580992,Fleeting Lullaby,ST-16,2026-05-04,Normal,0.18,0.02
580994,The World's Continuation,ST-16,2026-05-04,Normal,0.16,0.09
586670,Royal Blood Booster Pack,OP10,2026-05-04,Normal,6.59,5.0
586671,Royal Blood Booster Box,OP10,2026-05-04,Normal,220.56,219.95
586673,Royal Blood Booster Box Case,OP10,2026-05-04,Normal,2299.1,2344.9
594070,Extra Booster: Anime 25th Collection Box Case,EB-02,2026-05-04,Normal,4914.45,5999.99
594381,Starter Decks 15-20 [Set of 6],ST-15,2026-05-04,Normal,263.71,1000.0
605125,DON!! Card (Buggy) (Double Pack Set Vol. 6),OP09,2026-05-04,Foil,2.29,1.98
605126,DON!! Card (Blackbeard) (Double Pack Set Vol. 6),OP09,2026-05-04,Foil,4.37,3.31
606561,Double Pack Set Volume 7,OP11,2026-05-04,Normal,67.27,74.99
606562,Double Pack Set Volume 7 Display,OP11,2026-05-04,Normal,401.39,599.99
606575,Starter Deck EX: Gear 5,ST-21,2026-05-04,Normal,58.74,55.0
606576,Starter Deck EX: Gear 5 Display,ST-21,2026-05-04,Normal,274.97,290.69
606604,Emperors in the New World - Sleeved Booster Pack,OP09,2026-05-04,Normal,27.11,28.0
617113,Fighting Fish,OP10,2026-05-04,Normal,0.08,0.01
617585,One Piece Japanese Version 2nd Anniversary Set (Sealed Promotional Bundle),OP-CS,2026-05-04,Normal,790.29,749.69
620179,A Fist of Divine Speed Booster Pack,OP11,2026-05-04,Normal,7.07,7.0
620180,A Fist of Divine Speed Booster Box,OP11,2026-05-04,Normal,408.13,404.95
620181,A Fist of Divine Speed Booster Box Case,OP11,2026-05-04,Normal,5066.11,5300.0
620278,One Piece Tin Pack Set Vol. 1 -Gol.D.Roger-,OP-PR,2026-05-04,Normal,25.24,40.0
620279,One Piece Tin Pack Set Vol. 1 -Monkey.D.Luffy-,OP-PR,2026-05-04,Normal,25.04,25.0
620280,One Piece Tin Pack Set Vol. 1 Display,OP-PR,2026-05-04,Normal,289.28,475.69
620281,One Piece Tin Pack Set Vol. 1 Display Case,OP-PR,2026-05-04,Normal,799.99,1889.69
620781,Fighting Fish,OP10 RE,2026-05-04,Normal,0.32,0.14
622980,Premium Booster - Sleeved Booster Pack,PRB-01,2026-05-04,Normal,53.09,40.0
624523,Royal Blood - Sleeved Booster Pack,OP10,2026-05-04,Normal,11.69,9.84
624673,DON!! Card (Tin Pack Set Vol. 1 -Gol.D.Roger-),OP-PR,2026-05-04,Normal,1.78,1.35
624673,DON!! Card (Tin Pack Set Vol. 1 -Gol.D.Roger-),OP-PR,2026-05-04,Foil,2.09,1.0
624674,DON!! Card (Tin Pack Set Vol. 1 -Monkey.D.Luffy-),OP-PR,2026-05-04,Foil,4.49,3.0
624674,DON!! Card (Tin Pack Set Vol. 1 -Monkey.D.Luffy-),OP-PR,2026-05-04,Normal,3.87,3.75
627669,Starter Deck 23: RED Shanks,ST-23,2026-05-04,Normal,30.0,65.0
627670,Starter Deck 23: RED Shanks Display,ST-23,2026-05-04,Normal,100.79,195.0
627671,Starter Deck 24: GREEN Jewelry Bonney Display,ST-24,2026-05-04,Normal,97.87,197.0
627672,Starter Deck 24: GREEN Jewelry Bonney,ST-24,2026-05-04,Normal,19.84,15.99
627674,Starter Deck 25: BLUE Buggy,ST-25,2026-05-04,Normal,21.49,18.99
627675,Starter Deck 25: BLUE Buggy Display,ST-25,2026-05-04,Normal,97.46,139.99
627676,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy Display,ST-26,2026-05-04,Normal,131.37,194.0
627677,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy,ST-26,2026-05-04,Normal,42.97,40.0
627678,Starter Deck 27: BLACK Marshall.D.Teach,ST-27,2026-05-04,Normal,22.71,19.99
627679,Starter Deck 27: BLACK Marshall.D.Teach Display,ST-27,2026-05-04,Normal,107.29,173.99
627680,Starter Deck 28: GREEN/YELLOW Yamato Display,ST-28,2026-05-04,Normal,80.33,199.99
627681,Starter Deck 28: GREEN/YELLOW Yamato,ST-28,2026-05-04,Normal,31.22,30.44
628345,Legacy of the Master Booster Pack,OP12,2026-05-04,Normal,6.66,5.5
628346,Legacy of the Master Booster Box,OP12,2026-05-04,Normal,251.94,239.0
628347,Legacy of the Master Booster Box Case,OP12,2026-05-04,Normal,2509.27,2659.69
628348,Double Pack Set Vol. 8,OP12,2026-05-04,Normal,26.84,26.99
628349,Double Pack Set Vol. 8 Display,OP12,2026-05-04,Normal,153.33,289.94
628351,Carrying On His Will Booster Pack,OP13,2026-05-04,Normal,12.42,11.05
628352,Carrying On His Will Booster Box,OP13,2026-05-04,Normal,585.54,583.97
628353,Carrying On His Will Booster Box Case,OP13,2026-05-04,Normal,6381.03,6379.69
628448,Starter Deck 22: Ace & Newgate,ST-22,2026-05-04,Normal,18.24,12.5
628449,Starter Deck 22: Ace & Newgate Display,ST-22,2026-05-04,Normal,73.51,80.0
